Full list Index,Event Time,Duration,DIP,LANL,Max E,Min E,Flow Dir,GSM-x,GSM-y,GSM-z,RE,Dipole L,MLT,Blasma,AE,,Comments
390,2016-04-12/07:46:00,22,Y,N,3.58E+03,69,3,-7.1270331,-4.0281717,-2.208898,8.4793867,9.2349634,1.9826278,,,,
469,2016-04-13/06:28:00,58,Y,Y,1.37E+04,36,3,-6.438749,-2.408165,-1.7526422,7.0942584,7.5748594,1.3697695,,,,
675,2016-04-22/14:54:00,20,Y,Y,1.44E+04,69,3,-7.6615023,-8.5227417,-3.4345264,11.963767,15.852439,3.6756064,,,,
,2016-05-01/21:23:00,14,N,Y,7.03E+03,36,3,-2.7531987,-6.2445233,-3.4517736,7.6478046,10.830908,5.0980155,,,,
535,2016-05-06/05:11:00,40,Y,Y,6.70E+03,36,3,-8.4150141,-1.3876064,-1.588172,8.6752639,9.531986,0.64384228,,,,
998,2016-05-06/07:42:00,58,Y,N,2.56E+04,247,3,-9.797702,-3.6771236,-1.9245094,10.639565,11.947649,1.4331151,,,,
,2016-05-14/04:16:00,14,Y,N,6.93E+03,257,3,-8.5535525,-0.38464838,-1.3175425,8.6629749,9.5601824,0.17834483,,,,
341,2016-05-15/04:32:00,16,Y,N,3.67E+03,66,3,-8.9060196,-0.57590386,-1.3821222,9.0310083,9.9911706,0.25655249,,,,
803,2016-05-16/07:21:00,58,Y,N,2.56E+04,134,3,-10.573998,-2.7936237,-1.6351417,11.058366,12.462222,1.0376804,,,,
935,2016-05-16/10:56:00,26,Y,Y,1.42E+04,246,3,-10.772249,-5.0758449,-1.4159918,11.992105,14.3653,1.8409624,,,,
505,2016-05-16/14:34:00,20,Y,Y,6.73E+03,128,3,-9.3048357,-6.4241106,-1.16577553,11.427918,15.246857,2.7011523,,,,
,2016-05-27/03:57:00,18,Y,N,1.31E+04,247,3,-9.6189027,0.4508837,-1.1635047,9.6995014,10.818293,23.812304,,,,
73,2016-05-28/04:20:00,24,Y,Y,2.48E+04,134,3,-9.9963049,0.25673503,-1.2152411,10.073174,11.242694,23.897086,,,,
1022,2016-05-30/04:10:00,56,Y,N,2.36E+04,139,3,-10.036351,0.51419282,-1.1678262,10.117142,11.298433,23.794637,,,,
716,2016-05-30/06:12:00,24,Y,N,1.37E+04,128,3,-11.149696,-0.84890548,-1.3018324,11.257591,12.644072,0.30575874,,,,
395,2016-06-05/08:42:00,20,Y,N,3.67E+03,67,3,-11.83625,-1.7727761,-0.95218186,12.006091,13.884307,0.60944268,,,,
,2016-06-05/14:49:00,14,Y,N,2.44E+04,139,3,-9.0915092,-4.3795364,-0.39564124,10.099129,13.362704,1.9960572,,,,
,2016-06-05/15:04:00,16,Y,N,2.44E+04,139,3,-8.8575759,-4.4398824,-0.41051114,9.916538,13.163862,2.0715722,,,,
321,2016-06-06/01:41:00,22,Y,N,2.44E+04,139,4,-8.322101,2.4210205,-0.64639844,8.6911758,9.7810842,22.85346,,,,
1507,2016-06-06/05:33:00,44,Y,Y,2.44E+04,66,3,-11.257793,0.21925001,-1.1841231,11.322019,12.688819,23.921646,,,,
885,2016-06-11/11:43:00,68,Y,N,1.37E+04,139,3,-11.100202,-2.5941179,-0.32276187,11.403864,14.070386,0.97628776,,,,
718,2016-06-12/14:52:00,26,Y,N,2.56E+04,66,3,-8.6933886,-3.6846092,-0.039364303,9.4420814,12.312133,1.7652296,,,,Adjust end time
861,2016-08-03/06:16:00,30,Y,Y,2.48E+04,246,3,-9.5082927,5.4437483,-2.001228,11.137636,12.235471,21.944247,,,,
305,2016-08-03/09:50:00,23,Y,Y,1.44E+04,69,3,-8.1577988,2.567422,-0.8094923,8.5904956,9.6051131,22.771093,,,,
