Event Time,Duration,DIP,LANL,Max E,Min E,Flow Dir,GSM-x,GSM-y,GSM-z,RE,Dipole L,MLT
2016-07-08/11:59:00,84,Y,Y,3556,12,1,-2.80478,-4.4024,1.85636,5.54218,5.99668,3.85697
2016-07-08/14:38:00,54,N,Y,788,1,1,-2.10182,-5.13269,1.05315,5.23788,5.56644,5.59716
2016-07-17/11:53:00,102,N,,492,2,3,-2.34441,-4.86003,2.04756,5.77136,6.35684,4.23532
2016-07-20/03:19:00,61,Y,Y,1754,2,1,-1.68892,-5.34629,0.690355,5.64737,6.05862,4.75212
2016-08-02/22:20:00,60,Y,Y,1523,5,1,-2.53873,-5.08104,0.517317,5.70342,6.0487,3.82629
2016-08-03/12:48:00,35,N,Y,997,20,1,-3.67532,-0.918437,1.18621,3.97332,4.09757,1.1614
2016-08-10/10:03:00,95,Y,Y,752,1,1,-2.11467,-4.54565,2.11476,5.4401,6.41697,4.3137
2016-08-30/21:48:00,57,N,Y,129,2,1,-3.63897,-4.29701,0.737542,5.67614,6.09957,2.8962
2016-09-20/10:13:00,58,Y,Y,1296,3,3,-4.31517,-3.2827,1.60762,5.7298,6.3671,1.50833
2016-09-29/15:55:00,120,N,Y,821,2,3,-5.26891,-1.11286,0.656836,5.42737,5.83237,0.690383
2016-09-30/10:30:00,96,N,Y,1262,3,3,-5.33652,-1.74029,0.985433,5.69908,6.43362,1.56861
2016-10-01/05:05:00,59,Y,Y,1839,11,1,-5.14509,-2.52121,0.752297,5.77866,7.08114,2.06148
2016-10-01/14:01:00,84,N,Y,267,4,3,-5.16287,-2.41376,0.958116,5.77918,6.29528,1.74884
2016-10-10/01:45:00,89,N,Y,567,8,3,-4.81985,0.236061,0.232926,4.83289,5.57275,23.692
2016-10-15/08:32:00,54,N,Y,4737,31,3,-5.56247,-1.17773,0.334826,5.77009,6.47153,0.854698
2016-10-31/09:09:00,36,N,Y,208,20,3,-5.58619,-0.205937,-0.390918,5.52068,6.25714,23.6222
2016-11-03/10:39:00,106,N,Y,322,2,3,-5.23048,-1.96556,-0.223714,5.59141,6.19671,1.74212
2016-11-10/21:06:00,77,N,Y,605,4,3,-5.60293,-0.817062,-1.00573,4.0403,4.59395,21.5401
2016-11-12/00:15:00,66,N,Y,329,3,3,-5.48338,-1.03462,-1.0924,5.74254,6.24737,0.227046
2016-11-22/17:32:00,69,Y,Y,383,2,3,-4.87026,1.73286,-0.821535,5.23553,5.47259,22.4366
2016-11-23/03:34:00,117,N,Y,270,1,3,-5.55773,0.754401,-1.13782,5.72344,6.61773,23.5819
2016-11-24/08:02:00,88,N,Y,2778,1,3,-5.29975,-1.07823,-1.20996,5.54023,6.12274,1.20865
2016-11-25/01:00:00,69,Y,Y,760,2,3,-5.62088,0.311303,-1.30063,5.63218,6.25492,22.7776
2016-11-25/09:54:00,99,N,Y,270,1,3,-5.62036,-0.0524162,-1.34938,5.7801,6.16001,0.419178
2016-11-25/19:35:00,87,Y,Y,4740,1,3,-5.43828,-0.375231,-1.45766,5.64086,5.92171,23.8808
2016-11-26/11:17:00,66,N,Y,489,2,3,-5.01114,1.48428,-1.30785,5.38787,5.62477,23.212
