2001-06-14/20:51:40	2001-06-14/21:18:00
2001-06-21/18:40:20	2001-06-21/20:14:00
2001-07-03/09:16:00	2001-07-03/10:23:00
2001-07-03/13:54:00	2001-07-03/14:22:20
2001-07-03/17:42:40	2001-07-03/18:23:40
2001-07-05/19:05:00	2001-07-05/19:18:20
2001-07-15/17:27:00	2001-07-15/18:17:20
2001-07-22/08:58:40	2001-07-22/10:12:20
2001-07-24/20:15:00	2001-07-24/20:47:40
2001-07-26/19:06:20	2001-07-26/19:26:20
2001-07-26/19:53:00	2001-07-26/20:25:20
2001-08-03/10:11:20	2001-08-03/10:44:20
2001-08-05/15:07:20	2001-08-05/16:35:00
2001-08-08/01:13:00	2001-08-08/02:42:20
2001-08-12/23:07:40	2001-08-13/00:42:00
2001-08-14/22:00:40	2001-08-14/22:52:00
2001-08-15/01:09:40	2001-08-15/02:08:20
2001-08-15/07:26:20	2001-08-15/08:10:40
2001-08-17/13:22:20	2001-08-17/14:57:20
2001-08-22/09:35:40	2001-08-22/10:00:00
2001-08-22/11:27:00	2001-08-22/11:45:40
2001-08-27/01:01:20	2001-08-27/01:38:20
2001-08-27/03:57:20	2001-08-27/04:27:20
2001-08-29/10:29:40	2001-08-29/11:51:40
2001-09-12/13:02:00	2001-09-12/13:32:40 
2001-09-12/14:56:40	2001-09-12/15:28:20
2001-09-12/18:47:40	2001-09-12/19:33:20
2001-09-15/00:02:00	2001-09-15/00:43:20
2001-09-17/07:07:00	2001-09-17/08:10:40
2001-09-17/11:15:40	2001-09-17/11:59:40
2001-09-22/07:32:00	2001-09-22/08:08:20
2001-09-29/08:58:00	2001-09-29/09:15:00
2001-10-01/09:29:40	2001-10-01/09:52:40
2001-10-01/15:34:20	2001-10-01/16:40:40
2001-10-01/12:04:40	2001-10-01/12:50:40
2001-10-01/19:33:40	2001-10-01/20:45:40
2001-10-03/22:04:20	2001-10-03/22:50:00
2001-10-03/23:26:20	2001-10-04/00:30:40
2001-10-04/01:58:40	2001-10-04/03:42:20
2001-10-10/18:58:00	2001-10-10/20:29:20
2001-10-11/00:54:20	2001-10-11/01:48:20
2001-10-11/03:17:40	2001-10-11/04:08:40
2001-10-13/10:40:20	2001-10-13/10:54:20
2001-10-20/10:06:40	2001-10-20/10:39:40
2001-10-20/13:10:20	2001-10-20/13:49:20
2001-10-30/04:03:00	2001-10-30/04:26:40
2001-11-10/21:34:40	2001-11-10/22:37:20
2001-11-11/01:42:00	2001-11-11/02:56:20
2001-11-11/10:19:20	2001-11-11/11:22:20
2002-07-04/01:54:40	2002-07-04/03:16:00
2002-07-05/01:37:20	2002-07-05/02:29:00
2002-07-07/07:41:00	2002-07-07/08:17:40
2002-07-11/11:50:40	2002-07-11/12:42:40
2002-07-16/22:25:00	2002-07-16/23:59:00
2002-07-17/07:38:00	2002-07-17/08:54:00
2002-07-21/00:04:00	2002-07-21/01:13:00
2002-07-21/03:03:00	2002-07-21/03:48:40 
2002-07-21/05:38:00	2002-07-21/06:26:20
2002-07-21/13:46:40	2002-07-21/14:01:20
2002-07-24/00:09:20	2002-07-24/01:11:20
2002-07-24/01:18:00	2002-07-24/02:11:40
2002-07-24/04:58:20	2002-07-24/05:34:20
2002-07-25/18:58:40	2002-07-25/19:31:20
2002-07-26/07:46:40	2002-07-26/08:14:00
2002-07-26/10:46:40	2002-07-26/11:29:00
2002-07-26/15:35:20	2002-07-26/16:53:40
2002-07-27/19:57:40	2002-07-27/20:25:00
2002-07-27/23:54:00	2002-07-28/00:38:40
2002-07-28/02:31:20	2002-07-28/03:15:00
2002-07-28/04:59:00	2002-07-28/06:18:20
2002-07-28/17:11:40	2002-07-28/18:49:00
2002-07-30/17:46:40	2002-07-30/18:21:40
2002-07-30/18:47:40	2002-07-30/19:17:40
2002-08-02/00:17:40	2002-08-02/00:56:00
2002-08-02/02:08:20	2002-08-02/02:39:00
2002-08-04/02:25:00	2002-08-04/03:14:40
2002-08-04/06:41:00	2002-08-04/07:02:20
2002-08-06/17:52:00	2002-08-06/19:42:40
2002-08-07/04:11:40	2002-08-07/05:29:40
2002-08-09/13:00:00	2002-08-09/13:59:40
2002-08-11/14:20:00	2002-08-11/14:53:00
2002-08-11/16:22:40	2002-08-11/16:48:20
2002-08-11/20:24:00	2002-08-11/20:49:40
2002-08-11/22:12:20	2002-08-11/22:42:40
2002-08-12/01:46:40	2002-08-12/02:26:20
2002-08-14/06:30:00	2002-08-14/07:10:00
2002-08-16/07:47:40	2002-08-16/08:19:00
2002-08-16/13:48:00	2002-08-16/14:13:40
2002-08-19/01:28:00	2002-08-19/02:17:00
2002-08-19/06:26:20	2002-08-19/07:12:00
2002-08-20/17:13:00	2002-08-20/17:35:40
2002-08-20/22:32:00	2002-08-20/23:13:40
2002-08-21/01:37:00	2002-08-21/02:23:00
2002-08-21/03:34:20	2002-08-21/04:37:40
2002-08-21/07:51:00	2002-08-21/08:44:20
2002-08-26/04:58:20	2002-08-26/05:34:20
2002-08-30/14:26:20	2002-08-30/14:42:00
