dispersionless ion injection time,LANL-01A,LANL-02A,LANL-04A,LANL-97A,1994-084,1991-080
2016-01-01/09:12:00,Y,Y,Y,N,Y,N
2016-01-01/14:31:00,Y,Y,Y,Y,Y,N
2016-01-03/21:53:00,N,N,N,Y,Y,N
2016-01-04/17:11:00,N,Y,Y,N,N,N
2016-01-06/00:44:00,N,N,N,Y,Y,N
2016-01-06/08:32:00,Y,Y,Y,Y,Y,N
2016-01-06/15:04:00,N,Y,Y,N,N,N
2016-01-06/22:55:00,N,N,N,Y,Y,N
2016-01-07/10:52:00,Y,Y,Y,Y,Y,Y
2016-01-07/14:49:00,N,Y,Y,Y,N,N
2016-01-07/18:17:00,N,Y,Y,Y,N,N
2016-01-08/12:11:00,Y,Y,Y,N,N,N
2016-01-08/14:04:00,Y,Y,Y,Y,N,N
2016-01-10/12:28:00,Y,Y,Y,Y,N,N
2016-01-11/15:53:00,N,Y,Y,Y,Y,N
2016-01-11/19:12:00,Y,Y,Y,Y,Y,Y
2016-01-11/23:46:00,Y,Y,Y,Y,Y,Y
2016-01-12/19:54:00,N,N,Y,Y,N,N
2016-01-13/13:54:00,Y,Y,Y,N,N,N
2016-01-14/08:47:00,Y,Y,N,N,N,N
2016-01-19/00:07:00,N,N,N,Y,Y,N
2016-01-20/10:48:00,Y,Y,Y,Y,Y,N
2016-01-20/14:07:00,Y,Y,Y,Y,Y,N
2016-01-20/14:35:00,Y,Y,Y,Y,Y,N
2016-01-20/14:57:00,Y,Y,Y,Y,N,N
2016-01-20/17:52:00,N,Y,Y,Y,Y,N
2016-01-20/18:47:00,Y,Y,Y,Y,Y,Y
2016-01-20/21:42:00,N,N,Y,Y,Y,N
2016-01-21/00:45:00,Y,N,N,Y,N,N
2016-01-21/05:49:00,Y,Y,Y,Y,Y,N
2016-01-21/10:16:00,Y,Y,Y,Y,Y,Y
2016-01-21/13:41:00,Y,Y,Y,Y,Y,Y
2016-01-21/16:26:00,Y,Y,Y,Y,Y,Y
2016-01-21/20:40:00,Y,Y,Y,Y,Y,Y
2016-01-23/13:02:00,N,Y,Y,Y,N,N
2016-01-23/16:38:00,N,N,Y,Y,N,N
2016-01-23/17:02:00,N,N,Y,Y,Y,N
2016-01-24/00:11:00,N,N,N,Y,Y,N
2016-01-24/18:34:00,N,N,Y,Y,N,N
2016-01-24/19:05:00,N,Y,Y,Y,Y,N
2016-01-28/08:50:00,Y,Y,N,N,N,N
2016-01-31/22:11:00,Y,Y,Y,Y,Y,Y
2016-02-01/04:15:00,Y,Y,Y,Y,Y,N
2016-02-01/05:56:00,Y,Y,Y,N,N,N
2016-02-02/15:05:00,Y,Y,Y,Y,N,N
2016-02-02/21:10:00,N,N,Y,Y,Y,N
2016-02-04/12:21:00,Y,Y,Y,N,N,N
2016-02-05/18:40:00,N,Y,Y,Y,N,N
2016-02-05/19:26:00,Y,Y,Y,Y,Y,Y
2016-02-07/16:06:00,N,N,Y,Y,N,N
2016-02-08/01:05:00,Y,Y,Y,N,N,N
2016-02-08/06:01:00,Y,Y,Y,Y,N,N
2016-02-09/11:26:00,Y,Y,Y,Y,Y,Y
2016-02-09/22:10:00,N,N,Y,Y,Y,N
2016-02-11/12:43:00,Y,Y,N,N,N,N
2016-02-12/12:12:00,Y,Y,Y,Y,N,N
2016-02-14/08:04:00,Y,Y,Y,N,N,N
2016-02-14/16:22:00,N,Y,Y,Y,N,N
2016-02-14/17:02:00,N,Y,Y,Y,N,N
2016-02-15/13:13:00,N,Y,Y,Y,N,N
2016-02-15/22:50:00,Y,Y,Y,Y,Y,Y
2016-02-16/08:20:00,Y,Y,Y,N,N,N
2016-02-16/09:28:00,Y,Y,Y,N,N,N
2016-02-16/13:00:00,N,N,Y,Y,Y,N
2016-02-16/17:11:00,N,N,Y,Y,N,N
2016-02-17/01:55:00,Y,Y,Y,Y,Y,Y
2016-02-17/07:06:00,Y,Y,Y,Y,Y,N
2016-02-17/11:58:00,Y,Y,Y,N,N,N
2016-02-17/13:05:00,Y,Y,Y,Y,Y,N
2016-02-17/18:20:00,N,N,Y,Y,Y,N
2016-02-17/23:05:00,Y,Y,Y,Y,N,N
2016-02-18/09:01:00,Y,Y,Y,Y,N,N
2016-02-18/12:31:00,Y,Y,Y,N,N,N
2016-02-18/16:16:00,N,N,Y,Y,N,N
2016-02-18/18:26:00,N,N,Y,Y,Y,N
2016-02-18/22:46:00,N,N,N,N,Y,Y
2016-02-19/13:25:00,N,Y,Y,Y,N,N
2016-02-19/16:03:00,N,N,Y,Y,N,N
2016-02-19/18:39:00,N,N,Y,Y,N,N
2016-02-23/21:10:00,N,Y,Y,Y,Y,Y
2016-02-26/00:23:00,N,Y,Y,Y,N,N
2016-03-02/17:23:00,N,N,Y,Y,N,N
2016-03-06/17:26:00,N,N,Y,Y,Y,Y
2016-03-06/17:09:00,Y,Y,Y,Y,Y,Y
2016-03-06/19:57:00,N,N,Y,Y,Y,N
2016-03-10/18:19:00,N,N,Y,Y,N,N
2016-03-10/22:04:00,Y,Y,Y,N,Y,Y
2016-03-12/14:12:00,Y,Y,Y,Y,Y,Y
2016-03-15/07:44:00,N,Y,Y,N,Y,N
2016-03-15/20:29:00,Y,Y,Y,Y,Y,Y
2016-03-16/00:26:00,Y,Y,N,N,Y,N
2016-03-16/12:30:00,Y,Y,Y,Y,Y,Y
2016-03-18/18:25:00,Y,Y,Y,N,N,N
2016-03-27/17:25:00,N,N,Y,Y,N,N
2016-03-28/19:12:00,N,N,Y,Y,N,N
2016-03-28/19:44:00,N,N,N,Y,Y,N
2016-03-31/12:49:00,Y,Y,Y,Y,Y,Y
2016-04-03/17:14:00,N,N,Y,Y,Y,N
2016-04-05/19:48:00,N,N,Y,Y,N,N
2016-04-07/21:08:00,Y,N,Y,Y,Y,N
2016-04-10/07:55:00,Y,N,Y,Y,N,N
2016-04-11/16:18:00,Y,Y,Y,N,N,N
2016-04-11/16:59:00,Y,Y,Y,Y,Y,Y
2016-04-12/14:51:00,N,Y,Y,Y,N,N
2016-04-12/18:50:00,Y,Y,Y,Y,Y,Y
2016-04-13/00:36:00,Y,Y,Y,Y,Y,Y
2016-04-13/06:59:00,Y,Y,Y,Y,Y,Y
2016-04-13/17:28:00,Y,Y,Y,Y,Y,Y
2016-04-13/19:53:00,Y,Y,Y,Y,Y,Y
2016-04-14/00:17:00,Y,Y,Y,Y,Y,N
2016-04-14/02:23:00,N,Y,Y,Y,Y,N
2016-04-14/10:40:00,Y,Y,Y,Y,Y,Y
2016-04-14/12:29:00,Y,Y,Y,Y,Y,Y
2016-04-14/16:25:00,Y,Y,Y,Y,Y,Y
2016-04-14/20:51:00,Y,Y,Y,Y,Y,Y
2016-04-15/02:26:00,Y,Y,Y,Y,Y,Y
2016-04-16/10:05:00,Y,Y,Y,Y,Y,Y
2016-04-16/16:51:00,Y,Y,Y,Y,Y,N
2016-04-17/01:01:00,Y,Y,Y,Y,N,N
2016-04-17/04:51:00,Y,Y,Y,Y,Y,N
2016-04-17/14:36:00,Y,Y,Y,Y,N,N
2016-04-17/19:37:00,N,Y,Y,N,Y,Y
2016-04-22/21:09:00,N,Y,Y,Y,Y,Y
2016-04-23/21:44:00,N,Y,Y,Y,Y,Y
2016-04-24/15:33:00,Y,Y,Y,N,N,N
2016-04-24/16:21:00,Y,Y,Y,Y,N,N
2016-04-24/19:55:00,Y,Y,Y,Y,Y,Y
2016-04-24/20:22:00,Y,Y,Y,Y,Y,Y
2016-04-28/15:06:00,Y,Y,Y,Y,Y,Y
2016-04-30/14:19:00,Y,Y,Y,Y,N,N
2016-04-30/20:36:00,N,N,Y,Y,N,N
2016-05-01/14:33:00,N,Y,Y,Y,N,N
2016-05-01/21:01:00,Y,Y,Y,Y,Y,Y
2016-05-02/00:35:00,Y,Y,Y,Y,Y,N
2016-05-02/02:17:00,Y,Y,Y,Y,Y,N
2016-05-02/03:23:00,Y,Y,Y,Y,Y,Y
2016-05-02/13:39:00,N,Y,Y,Y,N,N
2016-05-02/19:08:00,N,Y,Y,Y,Y,Y
2016-05-02/22:00:00,Y,Y,Y,Y,Y,Y
2016-05-03/00:31:00,Y,Y,Y,Y,Y,Y
2016-05-03/04:22:00,Y,N,N,Y,N,N
2016-05-06/12:09:00,Y,Y,Y,Y,Y,N
2016-05-06/16:07:00,Y,Y,Y,Y,Y,Y
2016-05-06/18:50:00,Y,Y,Y,Y,Y,Y
2016-05-07/12:37:00,Y,Y,N,N,N,N
2016-05-07/22:42:00,N,N,Y,Y,Y,N
2016-05-08/02:32:00,Y,Y,Y,Y,Y,N
2016-05-08/08:33:00,Y,Y,Y,N,N,N
2016-05-08/09:47:00,Y,Y,Y,N,N,N
2016-05-08/11:07:00,Y,Y,Y,Y,Y,Y
2016-05-08/12:40:00,Y,Y,Y,Y,N,N
2016-05-08/13:24:00,Y,Y,Y,Y,Y,N
2016-05-08/16:05:00,N,N,Y,Y,Y,N
2016-05-08/20:05:00,Y,Y,Y,Y,Y,Y
2016-05-09/01:15:00,Y,Y,Y,Y,Y,Y
2016-05-09/11:03:00,Y,Y,Y,Y,Y,Y
2016-05-09/18:32:00,N,Y,Y,Y,Y,Y
2016-05-09/23:05:00,N,N,N,Y,Y,Y
2016-05-10/04:44:00,Y,Y,Y,Y,Y,Y
2016-05-10/08:24:00,Y,Y,N,N,N,N
2016-05-13/20:50:00,N,Y,Y,Y,N,N
2016-05-14/10:55:00,Y,Y,Y,N,N,N
2016-05-15/13:13:00,N,Y,Y,Y,N,N
2016-05-15/19:05:00,Y,Y,Y,Y,Y,Y
2016-05-16/03:34:00,Y,Y,Y,Y,Y,Y
2016-05-16/10:44:00,Y,Y,Y,Y,N,N
2016-05-16/15:03:00,N,Y,Y,Y,Y,N
2016-05-16/17:19:00,N,N,Y,Y,N,N
2016-05-17/07:53:00,Y,Y,Y,Y,Y,N
2016-05-17/14:57:00,Y,Y,Y,Y,Y,N
2016-05-18/03:21:00,Y,Y,Y,Y,Y,Y
2016-05-20/23:55:00,N,N,N,Y,Y,Y
2016-05-21/06:58:00,Y,Y,N,N,N,N
2016-05-21/11:23:00,Y,Y,N,N,N,N
2016-05-27/02:03:00,N,N,N,Y,Y,Y
2016-05-27/02:44:00,N,N,N,Y,Y,Y
2016-05-27/19:05:00,N,Y,Y,Y,Y,Y
2016-05-27/22:47:00,N,N,N,Y,Y,N
2016-05-28/03:46:00,Y,N,N,Y,Y,Y
2016-05-28/04:27:00,Y,N,N,Y,Y,N
2016-05-28/07:48:00,Y,Y,Y,Y,Y,Y
2016-05-28/22:10:00,N,N,Y,Y,Y,Y
2016-05-29/20:32:00,N,N,Y,Y,N,N
2016-05-30/02:36:00,Y,Y,Y,Y,Y,Y
2016-05-30/07:06:00,Y,Y,N,Y,Y,N
2016-05-31/18:47:00,N,N,Y,Y,Y,N
2016-05-31/22:02:00,Y,Y,Y,Y,Y,N
2016-06-05/12:59:00,Y,Y,Y,Y,Y,Y
2016-06-05/23:51:00,Y,Y,Y,Y,Y,Y
2016-06-06/04:12:00,Y,Y,Y,Y,Y,Y
2016-06-06/05:04:00,Y,Y,Y,Y,Y,Y
2016-06-06/10:55:00,Y,Y,Y,N,N,N
2016-06-06/11:36:00,Y,Y,Y,Y,Y,Y
2016-06-06/18:13:00,Y,Y,Y,Y,Y,Y
2016-06-07/21:45:00,N,Y,Y,Y,Y,Y
2016-06-07/23:13:00,N,N,Y,Y,Y,Y
2016-06-08/03:22:00,N,N,N,Y,Y,N
2016-06-08/10:43:00,Y,Y,N,N,N,N
2016-06-09/01:29:00,Y,N,N,Y,Y,Y
2016-06-11/21:45:00,N,N,Y,Y,Y,Y
2016-06-12/18:30:00,N,Y,Y,Y,Y,Y
2016-06-13/03:13:00,Y,N,Y,Y,Y,Y
2016-06-13/10:53:00,Y,Y,N,N,N,N
2016-06-14/19:37:00,Y,Y,Y,Y,Y,Y
2016-06-14/22:19:00,Y,Y,Y,Y,Y,Y
2016-06-15/01:13:00,Y,Y,Y,Y,Y,Y
2016-06-15/04:26:00,Y,N,N,Y,Y,Y
2016-06-15/12:37:00,Y,Y,N,N,N,N
2016-06-17/18:52:00,N,Y,Y,Y,Y,Y
2016-06-22/19:57:00,N,N,Y,Y,Y,N
2016-06-22/20:43:00,N,N,Y,Y,Y,N
2016-06-23/03:56:00,Y,Y,Y,Y,Y,Y
2016-06-23/23:24:00,N,N,Y,Y,Y,Y
2016-06-24/04:08:00,Y,Y,Y,Y,Y,Y
2016-06-24/06:10:00,Y,N,N,N,Y,Y
2016-06-24/10:34:00,Y,Y,Y,Y,Y,Y
2016-06-24/23:27:00,N,N,N,Y,Y,Y
